HEAD;;;;;;
from;-;to;Crochet;x;times;sum
1;;;magic ring sc;x;6;(6)
2;;;inc;x;6;(12)
3;;;(inc, sc 1);x;6;(18)
4;;;(sc1, inc, sc1);x;6;(24)
5;;;sc around;x;1;(24)
6;;;(inc, sc 3);x;6;(30)
7;-;8;sc around;x;2;(30)
9;;;(sc 2, inc, sc 2) x 2, (sc 3, inc, sc 2),  (sc 2, inc, sc 2) x 1, (sc 1, inc, sc 2) x 1;x;6;(36)
10;-;11;sc around;x;2;(36)
12;;;(sc 2, dec, sc 2);x;6;(30)
13;;;(dec, sc 3);x;6;(24)
14;;;(sc 1, dec, sc 1);x;6;(18)
15;;;(dec, sc 1);x;6;(12)
;;;;;;
Augen :;;;;;;
von oben 8 Rounds;;;;;;
zwischeneinander 6 stitches;;;;;;
da, wo Augen hinkommen, über 2. & 3.  inc. von Round 9;;;;;;
;;;;;;
;;;;;;
EARS;;;;;;
from;-;to;Crochet;x;times;sum
1;;;magic ring sc;x;6;(6)
2;;;inc;x;6;(12)
3;;;sc around;x;1;(12)
;;;;;;
after 2 st and 7th round;;;;;;
x1234x;;;;;;
3sc from eyes;;;;;;
;;;;;;
;;;;;;
NOSE;;;;;;
from;-;to;Crochet;x;times;sum
1;;;magic ring sc;x;8;(8)
2;;;(sc 2, 2 inc);x;2;(12)
;;;;;;
;;;;;;
ARMS;;;;;;
from;-;to;Crochet;x;times;sum
1;;;magic ring sc;x;5;(5)
2;;;inc;x;5;(10)
3;;;(sc 4, dec, sc 4);x;1;(9)
4;;;sc around;x;1;(9)
5;;;(dec, sc 7);x;1;(8)
6;-;7;sc around;x;2;(8)
8;;;(sc 3, dec, sc 3);x;1;(7)
;;;;;;
;;;;;;
BODY;;;;;;
from;-;to;Crochet;x;times;sum
1;;;(inc, sc 5);x;2;(14)
2;;;(sc 3, inc, sc 3);x;2;(16)
3;;;(inc, sc 7);x;2;(18)
4;;;(sc 4, inc, sc 4);x;2;(20)
5;;;(inc, sc 9);x;2;(22)
6;;;(sc 5, inc, sc 5);x;2;(24)
7;;;sc around;x;1;(24)
8;;;sc around;x;1;(24)
9;;;(sc 2, dec, sc 2);x;4;(20)
;;;;;;
;;;;;;
LEGS;;;;;;
from;-;to;Crochet;x;times;sum
1;;;sc around;x;1;(8)
2;;;(inc, sc 7);x;1;(9)
3;;;(sc 4, inc, sc 4);x;1;(10)
4;;;sc around;x;1;(10)
5;;;(inc, sc 9);x;1;(11)
6;;;(sc 5, inc, sc 5);x;1;(12)
7;;;dec;x;6;(6)
;;;;;;
Body:;;;;;;
Leave 2 stitches in the middle;;;;;;
;;;;;;
;;;;;;
TAIL;;;;;;
from;-;to;Crochet;x;times;sum
1;;;magic ring sc;x;6;(6)
2;;;inc;x;6;(12)
3;;;sc around;x;1;(12)
4;;;dec;x;6;(6)
;;;;;;
